Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
011155,KOSPI,CJ씨푸드1우,,,,,,,
001045,KOSPI,CJ우,,,,,,,
097950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시
097955,KOSPI,CJ제일제당 우,,,,,,,
000590,KOSPI,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,임규섭,http://www.chosunwelding.com,경상북도
012030,KOSPI,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,12월,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시
016610,KOSPI,DB금융투자,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",1988-06-27,12월,고원종,http://db-fi.com,서울특별시
005830,KOSPI,DB손해보험,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28,12월,김정남,http://www.idbins.com,서울특별시
000990,KOSPI,DB하이텍,반도체 제조업,반도체 제조,1975-12-12,12월,최창식,http://www.dbhitek.co.kr,경기도
000995,KOSPI,DB하이텍1우,,,,,,,
139130,KOSPI,DGB금융지주,기타 금융업,지주회사,2011-06-07,12월,김태오,http://www.dgbfg.co.kr,대구광역시
001530,KOSPI,DI동일,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",1964-01-04,12월,"서태원, 손재선",http://www.dong-il.com,서울특별시
000210,KOSPI,DL,기타 금융업,지주회사,1976-02-02,12월,배원복,http://www.dlholdings.co.kr,서울특별시
001880,KOSPI,DL건설,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",1977-12-22,12월,조남창,http://www.dlconstruction.co.kr,인천광역시
000215,KOSPI,DL우,,,,,,,
375500,KOSPI,DL이앤씨,토목 건설업,토목 건설 사업,2021-01-25,12월,마창민,,서울특별시
37550K,KOSPI,DL이앤씨우,,,,,,,
004840,KOSPI,DRB동일,고무제품 제조업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",1976-05-21,12월,류영식,http://drbworld.com,부산광역시
155660,KOSPI,DSR,1차 비철금속 제조업,합섬섬유로프,2013-05-15,12월,홍석빈,http://www.dsr.com,부산광역시
069730,KOSPI,DSR제강,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",2003-01-28,12월,홍하종,http://www.dsrcorp.com,전라남도
017940,KOSPI,E1,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",1997-08-27,12월,"구자용, 구동휘, 천정식 (각자 대표이사)",http://www.e1.co.kr,서울특별시
365550,KOSPI,ESR켄달스퀘어리츠,부동산 임대 및 공급업,부동산투자,2020-12-23,05월,박래익,http://www.esrks-reit.com,서울특별시
383220,KOSPI,F&F,봉제의복 제조업,"MLB, MLB KIDS, DISCOVERY 등 패션의류제품",2021-05-21,12월,김창수,http://www.fnf.co.kr,서울특별시
007700,KOSPI,F&F홀딩스,봉제의복 제조업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,박의헌,http://www.fnf.co.kr,서울특별시
285690,KOSPI,FOCUS ESG리더스,,,,,,,
292730,KOSPI,FOCUS KRX300,,,,,,,
402520,KOSPI,FOCUS 혁신기업액티브,,,,,,,
73501BB4,KOSPI,GB국민참여정책형뉴딜A,,,,,,,
73502BB4,KOSPI,GB국민참여정책형뉴딜C,,,,,,,
73503BB4,KOSPI,GB국민참여정책형뉴딜I,,,,,,,
73501BA2,KOSPI,GB중소성장기업A,,,,,,,
73502BA2,KOSPI,GB중소성장기업C,,,,,,,
73503BA2,KOSPI,GB중소성장기업I,,,,,,,
114090,KOSPI,GKL,유원지 및 기타 오락관련 서비스업,카지노,2009-11-19,12월,김영산,http://www.grandkorea.com,서울특별시
078930,KOSPI,GS,기타 금융업,지주회사/부동산 임대,2004-08-05,12월,"허태수, 홍순기 (각자 대표이사)",,서울특별시
006360,KOSPI,GS건설,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",1981-08-03,12월,"허창수, 임병용(각자 대표이사)",http://www.gsconst.co.kr/,서울특별시
001250,KOSPI,GS글로벌,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",1976-06-26,12월,김태형,http://www.gsgcorp.com,서울특별시
007070,KOSPI,GS리테일,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23,12월,"허연수, 김호성",http://www.gsretail.com,서울특별시
078935,KOSPI,GS우,,,,,,,
293180,KOSPI,HANARO 200,,,,,,,
332930,KOSPI,HANARO 200TR,,,,,,,
304780,KOSPI,HANARO 200선물레버리지,,,,,,,
306520,KOSPI,HANARO 200선물인버스,,,,,,,
395290,KOSPI,HANARO Fn K-POP&미디어,,,,,,,
395280,KOSPI,HANARO Fn K-게임,,,,,,,
368190,KOSPI,HANARO Fn K-뉴딜디지털플러스,,,,,,,
402460,KOSPI,HANARO Fn K-메타버스MZ,,,,,,,
395270,KOSPI,HANARO Fn K-반도체,,,,,,,
367740,KOSPI,HANARO Fn5G산업,,,,,,,
381560,KOSPI,HANARO Fn전기&수소차,,,,,,,
381570,KOSPI,HANARO Fn친환경에너지,,,,,,,
346000,KOSPI,HANARO KAP초장기국고채,,,,,,,
304760,KOSPI,HANARO KRX300,,,,,,,
332940,KOSPI,HANARO MSCI Korea TR,,,,,,,
322400,KOSPI,HANARO e커머스,,,,,,,
322410,KOSPI,HANARO 고배당,,,,,,,
354350,KOSPI,HANARO 글로벌럭셔리S&P(합성),,,,,,,
401590,KOSPI,HANARO 글로벌탄소배출권선물ICE(합성),,,,,,,
314700,KOSPI,HANARO 농업융복합산업,,,,,,,
390950,KOSPI,HANARO 단기채권액티브,,,,,,,
304770,KOSPI,HANARO 코스닥150,,,,,,,
306530,KOSPI,HANARO 코스닥150선물레버리지,,,,,,,
375760,KOSPI,HANARO 탄소효율그린뉴딜,,,,,,,
012630,KOSPI,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16,12월,"정몽규, 유병규",http://www.i-park.com,서울특별시
039570,KOSPI,HDC아이콘트롤스,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC",2015-09-24,12월,김성은,http://www.icontrols.co.kr,경기도
089470,KOSPI,HDC현대EP,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",2006-09-25,12월,정 중 규,http://www.hdc-hyundaiep.com/,충청남도
294870,KOSPI,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,12월,"권순호, 정경구",http://www.hdc-dvp.com,서울특별시
215620,KOSPI,HK S&P코리아로우볼,,,,,,,
391670,KOSPI,HK 베스트일레븐액티브,,,,,,,
391680,KOSPI,HK 하이볼액티브,,,,,,,
011200,KOSPI,HMM,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,배재훈,http://www.hmm21.com,서울특별시
082740,KOSPI,HSD엔진,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",2011-01-04,12월,고영열,http://www.hsdengine.com,경상남도
75801BB4,KOSPI,IBK 국민참여정책형뉴딜 혼합자산 A,,,,,,,
75802BB4,KOSPI,IBK 국민참여정책형뉴딜 혼합자산 C,,,,,,,
003560,KOSPI,IHQ,"영화, 비디오물, 방송프로그램 제작 및 배급업","매니지먼트, 음반, 드라마 제작, 유료방송, 프로그램 공급, 광고대행",1973-12-18,12월,김형철,http://www.ihq.co.kr,서울특별시
175330,KOSPI,JB금융지주,기타 금융업,금융지주 회사,2013-07-18,12월,김기홍,http://www.jbfg.com,전라북도
234080,KOSPI,JW생명과학,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",2016-10-27,12월,차성남,http://www.jw-lifescience.co.kr,충청남도
001060,KOSPI,JW중외제약,의약품 제조업,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",1976-06-14,12월,"대표이사 신영섭, 이성열(각자 대표이사)",http://www.jw-pharma.co.kr,서울특별시
001067,KOSPI,JW중외제약2우B,,,,,,,
001065,KOSPI,JW중외제약우,,,,,,,
096760,KOSPI,JW홀딩스,기타 금융업,의약품 수출입업,2007-07-31,12월,"이경하, 한성권",http://jw-holdings.co.kr,서울특별시
580011,KOSPI,KB FnGuide 언택트 ETN,,,,,,,
580013,KOSPI,KB KRX ESG Eco ETN,,,,,,,
580012,KOSPI,KB KRX300 ETN,,,,,,,
580010,KOSPI,KB Wise 분할매매 ETN,,,,,,,
580025,KOSPI,KB 레버리지 KRX 2차전지 K-뉴딜 ETN,,,,,,,
580024,KOSPI,KB 레버리지 KRX BBIG K-뉴딜 ETN,,,,,,,
580016,KOSPI,KB 레버리지 S&P 500 선물 ETN(H),,,,,,,
580022,KOSPI,KB 레버리지 금 선물 ETN(H),,,,,,,
580015,KOSPI,KB 레버리지 나스닥 100 ETN,,,,,,,
580026,KOSPI,KB 레버리지 은 선물 ETN(H),,,,,,,
580018,KOSPI,KB 레버리지 항셍테크 선물 ETN(H),,,,,,,
71901B96,KOSPI,KB 와이즈 스타 부동산 자 2 A,,,,,,,
71902B96,KOSPI,KB 와이즈 스타 부동산 자 2 C-F,,,,,,,
71903B96,KOSPI,KB 와이즈 스타 부동산 자 2 C-I,,,,,,,
580017,KOSPI,KB 인버스 2X S&P 500 선물 ETN,,,,,,,
580023,KOSPI,KB 인버스 2X 금 선물 ETN(H),,,,,,,
580014,KOSPI,KB 인버스 2X 나스닥 100 ETN,,,,,,,
580027,KOSPI,KB 인버스 2X 은 선물 ETN(H),,,,,,,
580019,KOSPI,KB 인버스 2X 항셍테크 선물 ETN,,,,,,,
580021,KOSPI,KB 인버스 천연가스 선물 ETN,,,,,,,
580020,KOSPI,KB 천연가스 선물 ETN(H),,,,,,,
58G196,KOSPI,KBG196삼성전자콜,,,,,,,
58G343,KOSPI,KBG343LG화학콜,,,,,,,
58G388,KOSPI,KBG388삼성전자콜,,,,,,,
58G624,KOSPI,KBG624LG화학콜,,,,,,,
58G625,KOSPI,KBG625네이버콜,,,,,,,
58G626,KOSPI,KBG626POSCO콜,,,,,,,
58G627,KOSPI,KBG627SK하이닉콜,,,,,,,
58G628,KOSPI,KBG628기아콜,,,,,,,
58G629,KOSPI,KBG629롯데케미콜,,,,,,,
58G630,KOSPI,KBG630삼성전자콜,,,,,,,
58G631,KOSPI,KBG631셀트리온콜,,,,,,,
58G632,KOSPI,KBG632셀트헬스콜,,,,,,,
58G633,KOSPI,KBG633현대차콜,,,,,,,
58G634,KOSPI,KBG634롯데케미콜,,,,,,,
58G635,KOSPI,KBG635삼성전자콜,,,,,,,
58G636,KOSPI,KBG636삼성전자콜,,,,,,,
58G637,KOSPI,KBG637셀트리온콜,,,,,,,
58G638,KOSPI,KBG638삼성전자콜,,,,,,,
58G639,KOSPI,KBG639삼성전자콜,,,,,,,
58G640,KOSPI,KBG640삼성전자콜,,,,,,,
58G641,KOSPI,KBG641삼성중콜,,,,,,,
58G856,KOSPI,KBG856케이티지콜,,,,,,,
58G857,KOSPI,KBG857엘지전자콜,,,,,,,
58G858,KOSPI,KBG858POSCO콜,,,,,,,
58G859,KOSPI,KBG859SK텔레콤콜,,,,,,,
58G860,KOSPI,KBG860기아콜,,,,,,,
58G861,KOSPI,KBG861셀트리온콜,,,,,,,
58G862,KOSPI,KBG862한화솔루콜,,,,,,,
58G863,KOSPI,KBG863삼성전자콜,,,,,,,
58G930,KOSPI,KBG930KOSPI200콜,,,,,,,
58G931,KOSPI,KBG931KOSPI200콜,,,,,,,
58G932,KOSPI,KBG932KOSPI200콜,,,,,,,
58G933,KOSPI,KBG933KOSPI200콜,,,,,,,
58G934,KOSPI,KBG934KOSPI200콜,,,,,,,
58G935,KOSPI,KBG935KOSPI200풋,,,,,,,
58G936,KOSPI,KBG936KOSPI200풋,,,,,,,
58G937,KOSPI,KBG937KOSPI200풋,,,,,,,
58G938,KOSPI,KBG938KOSPI200풋,,,,,,,
58G939,KOSPI,KBG939KOSPI200풋,,,,,,,
58G940,KOSPI,KBG940KOSPI200콜,,,,,,,
58G941,KOSPI,KBG941KOSPI200콜,,,,,,,
58G942,KOSPI,KBG942KOSPI200콜,,,,,,,
58G943,KOSPI,KBG943KOSPI200콜,,,,,,,
58G944,KOSPI,KBG944KOSPI200콜,,,,,,,
58G945,KOSPI,KBG945KOSPI200풋,,,,,,,
58G946,KOSPI,KBG946KOSPI200풋,,,,,,,
58G947,KOSPI,KBG947KOSPI200풋,,,,,,,
58G948,KOSPI,KBG948KOSPI200풋,,,,,,,
58G949,KOSPI,KBG949KOSPI200풋,,,,,,,
58GA81,KOSPI,KBGA81엘지디스콜,,,,,,,
58GA82,KOSPI,KBGA82LG화학콜,,,,,,,
58GA83,KOSPI,KBGA83네이버콜,,,,,,,
58GA84,KOSPI,KBGA84POSCO콜,,,,,,,
58GA85,KOSPI,KBGA85SK텔레콤콜,,,,,,,
58GA86,KOSPI,KBGA86SK텔레콤풋,,,,,,,
58GA87,KOSPI,KBGA87SK하이닉콜,,,,,,,
58GA88,KOSPI,KBGA88삼성SDI콜,,,,,,,
58GA89,KOSPI,KBGA89삼성바이콜,,,,,,,
58GA90,KOSPI,KBGA90삼성전자콜,,,,,,,
58GA91,KOSPI,KBGA91삼성전자콜,,,,,,,
58GA92,KOSPI,KBGA92셀트리온콜,,,,,,,
58GA93,KOSPI,KBGA93셀트리온풋,,,,,,,
58GA95,KOSPI,KBGA95신한지주콜,,,,,,,
58GA96,KOSPI,KBGA96아모레콜,,,,,,,
58GA97,KOSPI,KBGA97NC소프트콜,,,,,,,
58GA98,KOSPI,KBGA98카카오콜,,,,,,,
58GA99,KOSPI,KBGA99하나금융콜,,,,,,,
58GB00,KOSPI,KBGB00모비스콜,,,,,,,
58GB01,KOSPI,KBGB01현대차콜,,,,,,,
58GB02,KOSPI,KBGB02케이티지콜,,,,,,,
58GB03,KOSPI,KBGB03엘지디스콜,,,,,,,
58GB04,KOSPI,KBGB04엘지전자콜,,,,,,,
58GB05,KOSPI,KBGB05LG화학콜,,,,,,,
58GB06,KOSPI,KBGB06POSCO콜,,,,,,,
58GB07,KOSPI,KBGB07SK텔레콤콜,,,,,,,
58GB08,KOSPI,KBGB08SK하이닉콜,,,,,,,
58GB09,KOSPI,KBGB09삼성SDI콜,,,,,,,
58GB10,KOSPI,KBGB10삼성SDS콜,,,,,,,
58GB11,KOSPI,KBGB11삼성전자콜,,,,,,,
58GB12,KOSPI,KBGB12삼성전자풋,,,,,,,
58GB13,KOSPI,KBGB13신한지주콜,,,,,,,
58GB14,KOSPI,KBGB14하나금융콜,,,,,,,
58GB15,KOSPI,KBGB15SK하이닉콜,,,,,,,
58GB16,KOSPI,KBGB16삼성전자콜,,,,,,,
58GB17,KOSPI,KBGB17셀트리온콜,,,,,,,
58GB18,KOSPI,KBGB18삼성전자콜,,,,,,,
58GB19,KOSPI,KBGB19삼성전자풋,,,,,,,
58GB65,KOSPI,KBGB65KOSPI200콜,,,,,,,
58GB66,KOSPI,KBGB66KOSPI200콜,,,,,,,
58GB67,KOSPI,KBGB67KOSPI200콜,,,,,,,
58GB68,KOSPI,KBGB68KOSPI200콜,,,,,,,
58GB69,KOSPI,KBGB69KOSPI200콜,,,,,,,
58GB70,KOSPI,KBGB70KOSPI200콜,,,,,,,
58GB71,KOSPI,KBGB71KOSPI200콜,,,,,,,
58GB72,KOSPI,KBGB72KOSPI200콜,,,,,,,
58GB73,KOSPI,KBGB73KOSPI200콜,,,,,,,
58GB74,KOSPI,KBGB74KOSPI200콜,,,,,,,
58GB75,KOSPI,KBGB75KOSPI200콜,,,,,,,
58GB76,KOSPI,KBGB76KOSPI200콜,,,,,,,
58GB77,KOSPI,KBGB77KOSPI200콜,,,,,,,
58GB78,KOSPI,KBGB78KOSPI200콜,,,,,,,
58GB79,KOSPI,KBGB79KOSPI200콜,,,,,,,
58GB80,KOSPI,KBGB80KOSPI200콜,,,,,,,
58GB81,KOSPI,KBGB81KOSPI200콜,,,,,,,
58GB82,KOSPI,KBGB82KOSPI200콜,,,,,,,
58GB83,KOSPI,KBGB83KOSPI200콜,,,,,,,
58GB84,KOSPI,KBGB84KOSPI200콜,,,,,,,
58GC40,KOSPI,KBGC40LG생건콜,,,,,,,
58GC41,KOSPI,KBGC41LG이노텍콜,,,,,,,
58GC42,KOSPI,KBGC42LG화학콜,,,,,,,
58GC43,KOSPI,KBGC43LG화학풋,,,,,,,
58GC44,KOSPI,KBGC44네이버콜,,,,,,,
58GC45,KOSPI,KBGC45POSCO콜,,,,,,,
58GC46,KOSPI,KBGC46SK콜,,,,,,,
58GC47,KOSPI,KBGC47SK하이닉콜,,,,,,,
58GC48,KOSPI,KBGC48S-OIL콜,,,,,,,
58GC49,KOSPI,KBGC49금호석유콜,,,,,,,
58GC50,KOSPI,KBGC50넷마블콜,,,,,,,
58GC52,KOSPI,KBGC52두산퓨얼콜,,,,,,,
58GC53,KOSPI,KBGC53롯데케미콜,,,,,,,
58GC54,KOSPI,KBGC54만도콜,,,,,,,
58GC55,KOSPI,KBGC55삼성물산콜,,,,,,,
58GC56,KOSPI,KBGC56삼성SDS콜,,,,,,,
58GC57,KOSPI,KBGC57삼성전기콜,,,,,,,
58GC58,KOSPI,KBGC58삼성전자콜,,,,,,,
58GC59,KOSPI,KBGC59셀트헬스풋,,,,,,,
58GC60,KOSPI,KBGC60신한지주콜,,,,,,,
58GC61,KOSPI,KBGC61이마트콜,,,,,,,
58GC62,KOSPI,KBGC62카카오풋,,,,,,,
58GC64,KOSPI,KBGC64하이브콜,,,,,,,
58GC65,KOSPI,KBGC65한국전력콜,,,,,,,
58GC66,KOSPI,KBGC66한국조선콜,,,,,,,
58GC67,KOSPI,KBGC67한화솔루콜,,,,,,,
58GC68,KOSPI,KBGC68글로비스콜,,,,,,,
58GC69,KOSPI,KBGC69모비스콜,,,,,,,
58GC70,KOSPI,KBGC70현대제철콜,,,,,,,
58GC71,KOSPI,KBGC71호텔신라콜,,,,,,,
58GC72,KOSPI,KBGC72엘지디스콜,,,,,,,
58GC73,KOSPI,KBGC73엘지전자콜,,,,,,,
58GC74,KOSPI,KBGC74LG화학콜,,,,,,,
58GC76,KOSPI,KBGC76POSCO콜,,,,,,,
58GC77,KOSPI,KBGC77SK콜,,,,,,,
58GC78,KOSPI,KBGC78SK이노콜,,,,,,,
58GC80,KOSPI,KBGC80SK하이닉콜,,,,,,,
58GC81,KOSPI,KBGC81SK하이닉콜,,,,,,,
58GC82,KOSPI,KBGC82기아콜,,,,,,,
58GC85,KOSPI,KBGC85삼성SDI콜,,,,,,,
58GC86,KOSPI,KBGC86삼성물산콜,,,,,,,
58GC87,KOSPI,KBGC87삼성바이콜,,,,,,,
58GC88,KOSPI,KBGC88삼성전기콜,,,,,,,
58GC89,KOSPI,KBGC89삼성전자풋,,,,,,,
58GC90,KOSPI,KBGC90셀트리온콜,,,,,,,
58GC91,KOSPI,KBGC91셀트제약콜,,,,,,,
58GC92,KOSPI,KBGC92셀트헬스콜,,,,,,,
58GC93,KOSPI,KBGC93아모레콜,,,,,,,
58GC94,KOSPI,KBGC94NC소프트콜,,,,,,,
58GC95,KOSPI,KBGC95이마트콜,,,,,,,
58GC98,KOSPI,KBGC98하나금융콜,,,,,,,
58GC99,KOSPI,KBGC99글로비스콜,,,,,,,
58GD02,KOSPI,KBGD02현대차콜,,,,,,,
58GD03,KOSPI,KBGD03호텔신라콜,,,,,,,
58GD05,KOSPI,KBGD05LG화학콜,,,,,,,
58GD06,KOSPI,KBGD06네이버콜,,,,,,,
58GD07,KOSPI,KBGD07POSCO콜,,,,,,,
58GD09,KOSPI,KBGD09SK하이닉콜,,,,,,,
58GD10,KOSPI,KBGD10기아콜,,,,,,,
58GD12,KOSPI,KBGD12롯데케미콜,,,,,,,
58GD13,KOSPI,KBGD13삼성SDI콜,,,,,,,
58GD14,KOSPI,KBGD14삼성바이콜,,,,,,,
58GD15,KOSPI,KBGD15삼성전자콜,,,,,,,
58GD17,KOSPI,KBGD17신한지주콜,,,,,,,
58GD18,KOSPI,KBGD18아모레콜,,,,,,,
58GD19,KOSPI,KBGD19한국항공콜,,,,,,,
58GD20,KOSPI,KBGD20모비스콜,,,,,,,
58GD21,KOSPI,KBGD21현대차콜,,,,,,,
58GD22,KOSPI,KBGD22엘지디스콜,,,,,,,
58GD23,KOSPI,KBGD23SK하이닉콜,,,,,,,
58GD24,KOSPI,KBGD24기아콜,,,,,,,
58GD25,KOSPI,KBGD25삼성물산콜,,,,,,,
58GD26,KOSPI,KBGD26삼성전자콜,,,,,,,
58GD27,KOSPI,KBGD27셀트리온콜,,,,,,,
58GD28,KOSPI,KBGD28NC소프트콜,,,,,,,
58GD29,KOSPI,KBGD29하나금융콜,,,,,,,
58GD30,KOSPI,KBGD30현대차콜,,,,,,,
58GD31,KOSPI,KBGD31삼성전자콜,,,,,,,
58GD32,KOSPI,KBGD32카카오콜,,,,,,,
58GD33,KOSPI,KBGD33하나금융콜,,,,,,,
58GD34,KOSPI,KBGD34한국전력콜,,,,,,,
58GD40,KOSPI,KBGD40KOSPI200콜,,,,,,,
58GD41,KOSPI,KBGD41KOSPI200콜,,,,,,,
58GD42,KOSPI,KBGD42KOSPI200콜,,,,,,,
58GD43,KOSPI,KBGD43KOSPI200콜,,,,,,,
58GD44,KOSPI,KBGD44KOSPI200콜,,,,,,,
58GD45,KOSPI,KBGD45KOSPI200콜,,,,,,,
58GD46,KOSPI,KBGD46KOSPI200콜,,,,,,,
58GD47,KOSPI,KBGD47KOSPI200콜,,,,,,,
58GD48,KOSPI,KBGD48KOSPI200콜,,,,,,,
58GD49,KOSPI,KBGD49KOSPI200콜,,,,,,,
58GD50,KOSPI,KBGD50KOSPI200콜,,,,,,,
58GD51,KOSPI,KBGD51KOSPI200콜,,,,,,,
58GD52,KOSPI,KBGD52KOSPI200풋,,,,,,,
58GD53,KOSPI,KBGD53KOSPI200풋,,,,,,,
58GD54,KOSPI,KBGD54KOSPI200풋,,,,,,,
58GD55,KOSPI,KBGD55KOSPI200풋,,,,,,,
58GD56,KOSPI,KBGD56KOSPI200풋,,,,,,,
58GD57,KOSPI,KBGD57KOSPI200풋,,,,,,,
58GD58,KOSPI,KBGD58KOSPI200풋,,,,,,,
58GD59,KOSPI,KBGD59KOSPI200풋,,,,,,,
58GD60,KOSPI,KBGD60KOSPI200풋,,,,,,,
58GD61,KOSPI,KBGD61KOSPI200풋,,,,,,,
58GD62,KOSPI,KBGD62KOSPI200풋,,,,,,,
58GD63,KOSPI,KBGD63KOSPI200풋,,,,,,,
58GD64,KOSPI,KBGD64KOSPI200풋,,,,,,,
